"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:40:10 UTC 2022","Mon Apr 04 19:40:10 UTC 2022","736","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass",""
"passed","Mon Apr 04 19:44:12 UTC 2022","Mon Apr 04 19:44:12 UTC 2022","460","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","attribute","attribute",""
"passed","Mon Apr 04 19:44:26 UTC 2022","Mon Apr 04 19:44:29 UTC 2022","2779","Suite","Test","testPackage01.Test_MatchJsonSchema","testPackage01.Test_MatchJsonSchema","checkAPI_ResponseSchema","checkAPI_ResponseSchema",""
"passed","Mon Apr 04 19:41:48 UTC 2022","Mon Apr 04 19:41:48 UTC 2022","8","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_false_expectedToFail","assertFileExists_false_expectedToFail",""
"passed","Mon Apr 04 19:47:50 UTC 2022","Mon Apr 04 19:47:52 UTC 2022","2592","Suite","Test","dsl.testDsl","dsl.testDsl","testButton","testButton",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f8","f8",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","2","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f4","f4",""
"passed","Mon Apr 04 19:40:03 UTC 2022","Mon Apr 04 19:40:03 UTC 2022","665","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_regexComparison_expectedToPass","assertElementAttribute_false_regexComparison_expectedToPass",""
"passed","Mon Apr 04 19:41:48 UTC 2022","Mon Apr 04 19:41:48 UTC 2022","1","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass__","assertEquals_true_expectedToPass__",""
"skipped","Mon Apr 04 19:44:07 UTC 2022","Mon Apr 04 19:44:07 UTC 2022","84","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f22","f22",""
"passed","Mon Apr 04 19:39:38 UTC 2022","Mon Apr 04 19:39:39 UTC 2022","1078","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_caseInsensitiveComparison_expectedToFail","assertElementAttribute_false_caseInsensitiveComparison_expectedToFail",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f7","f7",""
"skipped","Mon Apr 04 19:44:08 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","2","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f31","f31",""
"passed","Mon Apr 04 19:42:08 UTC 2022","Mon Apr 04 19:42:08 UTC 2022","250","Suite","Test","testPackage01.Test_AssertApiResponseEquals","testPackage01.Test_AssertApiResponseEquals","assertApiResponseEquals_expectedToPass","assertApiResponseEquals_expectedToPass",""
"passed","Mon Apr 04 19:41:49 UTC 2022","Mon Apr 04 19:41:49 UTC 2022","1","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertNull_false_expectedToPass","assertNull_false_expectedToPass",""
"passed","Mon Apr 04 19:44:20 UTC 2022","Mon Apr 04 19:44:20 UTC 2022","168","Suite","Test","testPackage01.Test_SHAFT_Wizard","testPackage01.Test_SHAFT_Wizard","cli","cli",""
"passed","Mon Apr 04 19:47:46 UTC 2022","Mon Apr 04 19:47:49 UTC 2022","2858","Suite","Test","testPackage01.Test_SelectedValue","testPackage01.Test_SelectedValue","simpleSelect","simpleSelect",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","2","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f2","f2",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","123","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","forceFail2","forceFail2",""
"passed","Mon Apr 04 19:42:42 UTC 2022","Mon Apr 04 19:42:47 UTC 2022","4714","Suite","Test","testPackage01.Test_PDF","testPackage01.Test_PDF","testPDF1","testPDF1",""
"passed","Mon Apr 04 19:44:03 UTC 2022","Mon Apr 04 19:44:03 UTC 2022","206","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f1","f1",""
"passed","Mon Apr 04 19:41:49 UTC 2022","Mon Apr 04 19:41:49 UTC 2022","2","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToPass","assertFileExists_true_expectedToPass",""
